1.559999999999999964e+01	-7.303477431876821413e+01
1.519999999999999929e+01	-6.727505048023303402e+01
1.479999999999999893e+01	-6.172475829213480836e+01
1.439999999999999858e+01	-5.638782756221387871e+01
1.399999999999999822e+01	-5.126818809821055112e+01
1.359999999999999787e+01	-4.636976970786514585e+01
1.319999999999999751e+01	-4.169650219891798315e+01
1.279999999999999716e+01	-3.725231537910941881e+01
1.239999999999999680e+01	-3.304113905617973757e+01
1.199999999999999645e+01	-2.906690303786929519e+01
1.159999999999999609e+01	-2.533353713191840129e+01
1.119999999999999574e+01	-2.184497114606737966e+01
1.079999999999999538e+01	-1.860513488805655768e+01
1.039999999999999503e+01	-1.561795816562626271e+01
9.999999999999994671e+00	-1.288737078651682033e+01
9.599999999999994316e+00	-1.041730255846854725e+01
9.199999999999993960e+00	-8.211683289221774373e+00
8.799999999999993605e+00	-6.274442786516824633e+00
8.399999999999993250e+00	-4.599484404494353917e+00
7.999999999999992895e+00	-2.994876404494353217e+00
7.599999999999992539e+00	-1.460337617977500058e+00
7.199999999999992184e+00	-9.472431460671715264e-02
6.799999999999991829e+00	1.003107235955075227e+00
6.399999999999991473e+00	1.734300764044955034e+00
5.999999999999991118e+00	1.999999999999999334e+00
5.599999999999990763e+00	1.999407407407407300e+00
5.199999999999990408e+00	1.995259259259258400e+00
4.799999999999990052e+00	1.983999999999999320e+00
4.399999999999989697e+00	1.962074074074072971e+00
3.999999999999989342e+00	1.925925925925924487e+00
3.599999999999988987e+00	1.871999999999997888e+00
3.199999999999988631e+00	1.796740740740738085e+00
2.799999999999988276e+00	1.696592592592589321e+00
2.399999999999987921e+00	1.567999999999995620e+00
1.999999999999987566e+00	1.407407407407401667e+00
1.599999999999987210e+00	1.211259259259252374e+00
1.199999999999986855e+00	9.759999999999915410e-01
7.999999999999864997e-01	6.980740740740638550e-01
3.999999999999861444e-01	3.739259259259138379e-01
-1.421085471520200372e-14	-1.421085471520203843e-14
